Case: n = 1000, m = 1000
Epoch count: [min, average, max] = [3, 3.46, 4]
Matching count: [min, average, max] = [522, 543.86, 564]
Call primal count (sum): [min, average, max] = [1026, 1198.41, 1414]
Call primal count (epoch 0): [min, average, max] = [615, 631.38, 660]
Call primal count (epoch 1): [min, average, max] = [232, 275.45, 313]
Call primal count (epoch 2): [min, average, max] = [159, 201.33, 259]
Call primal count (epoch 3): [min, average, max] = [0, 90.25, 234]
Call primal count (epoch 4): [min, average, max] = [0, 0, 0]
Call primal count (epoch 5): [min, average, max] = [0, 0, 0]
Call primal count (epoch 6): [min, average, max] = [0, 0, 0]
Call primal count (epoch 7): [min, average, max] = [0, 0, 0]
Call primal count (epoch 8): [min, average, max] = [0, 0, 0]
Call primal count (epoch 9): [min, average, max] = [0, 0, 0]
Call primal count (epoch 10): [min, average, max] = [0, 0, 0]
Call primal count (epoch 11): [min, average, max] = [0, 0, 0]
Call primal count (epoch 12): [min, average, max] = [0, 0, 0]
Call primal count (epoch 13): [min, average, max] = [0, 0, 0]
Call primal count (epoch 14): [min, average, max] = [0, 0, 0]
Call primal count (epoch 15): [min, average, max] = [0, 0, 0]
Call primal count (epoch 16): [min, average, max] = [0, 0, 0]
Call primal count (epoch 17): [min, average, max] = [0, 0, 0]
Call primal count (epoch 18): [min, average, max] = [0, 0, 0]
Call primal count (epoch 19): [min, average, max] = [0, 0, 0]
Call primal count (epoch 20): [min, average, max] = [0, 0, 0]
Call primal count (epoch 21): [min, average, max] = [0, 0, 0]
Call primal count (epoch 22): [min, average, max] = [0, 0, 0]
Call primal count (epoch 23): [min, average, max] = [0, 0, 0]
Call primal count (epoch 24): [min, average, max] = [0, 0, 0]
Call primal count (epoch 25): [min, average, max] = [0, 0, 0]
Call primal count (epoch 26): [min, average, max] = [0, 0, 0]
Call primal count (epoch 27): [min, average, max] = [0, 0, 0]
Call primal count (epoch 28): [min, average, max] = [0, 0, 0]
Call primal count (epoch 29): [min, average, max] = [0, 0, 0]

Case: n = 1000, m = 3000
Epoch count: [min, average, max] = [5, 7.21, 10]
Matching count: [min, average, max] = [902, 923.45, 935]
Call primal count (sum): [min, average, max] = [2185, 3783.91, 5455]
Call primal count (epoch 0): [min, average, max] = [933, 949.76, 967]
Call primal count (epoch 1): [min, average, max] = [556, 653.04, 724]
Call primal count (epoch 2): [min, average, max] = [370, 525.94, 638]
Call primal count (epoch 3): [min, average, max] = [215, 455.83, 681]
Call primal count (epoch 4): [min, average, max] = [85, 413.03, 709]
Call primal count (epoch 5): [min, average, max] = [0, 361.15, 708]
Call primal count (epoch 6): [min, average, max] = [0, 253.24, 692]
Call primal count (epoch 7): [min, average, max] = [0, 144.67, 703]
Call primal count (epoch 8): [min, average, max] = [0, 22.9, 651]
Call primal count (epoch 9): [min, average, max] = [0, 4.35, 189]
Call primal count (epoch 10): [min, average, max] = [0, 0, 0]
Call primal count (epoch 11): [min, average, max] = [0, 0, 0]
Call primal count (epoch 12): [min, average, max] = [0, 0, 0]
Call primal count (epoch 13): [min, average, max] = [0, 0, 0]
Call primal count (epoch 14): [min, average, max] = [0, 0, 0]
Call primal count (epoch 15): [min, average, max] = [0, 0, 0]
Call primal count (epoch 16): [min, average, max] = [0, 0, 0]
Call primal count (epoch 17): [min, average, max] = [0, 0, 0]
Call primal count (epoch 18): [min, average, max] = [0, 0, 0]
Call primal count (epoch 19): [min, average, max] = [0, 0, 0]
Call primal count (epoch 20): [min, average, max] = [0, 0, 0]
Call primal count (epoch 21): [min, average, max] = [0, 0, 0]
Call primal count (epoch 22): [min, average, max] = [0, 0, 0]
Call primal count (epoch 23): [min, average, max] = [0, 0, 0]
Call primal count (epoch 24): [min, average, max] = [0, 0, 0]
Call primal count (epoch 25): [min, average, max] = [0, 0, 0]
Call primal count (epoch 26): [min, average, max] = [0, 0, 0]
Call primal count (epoch 27): [min, average, max] = [0, 0, 0]
Call primal count (epoch 28): [min, average, max] = [0, 0, 0]
Call primal count (epoch 29): [min, average, max] = [0, 0, 0]

Case: n = 1000, m = 10000
Epoch count: [min, average, max] = [3, 4.07, 5]
Matching count: [min, average, max] = [999, 999.92, 1000]
Call primal count (sum): [min, average, max] = [2108, 2920.91, 4455]
Call primal count (epoch 0): [min, average, max] = [999, 999.95, 1000]
Call primal count (epoch 1): [min, average, max] = [640, 728.62, 791]
Call primal count (epoch 2): [min, average, max] = [373, 653.19, 872]
