Condition: N = 1000, M = 1000, M/N = 1
BFS count: [min, average, max] = [1, 1.02, 2]
Flow value: [min, average, max] = [0, 0.14, 12]
Call primal count (sum): [min, average, max] = [0, 4.1, 225]
Call primal count (epoch 0): [min, average, max] = [0, 4.1, 225]

Condition: N = 1000, M = 2000, M/N = 2
BFS count: [min, average, max] = [1, 3.11, 12]
Flow value: [min, average, max] = [0, 24.61, 139]
Call primal count (sum): [min, average, max] = [0, 1445.07, 7319]
Call primal count (epoch 0): [min, average, max] = [0, 439.46, 826]
Call primal count (epoch 1): [min, average, max] = [0, 350.45, 826]
Call primal count (epoch 2): [min, average, max] = [0, 265.73, 815]
Call primal count (epoch 3): [min, average, max] = [0, 170.72, 822]
Call primal count (epoch 4): [min, average, max] = [0, 88.76, 816]
Call primal count (epoch 5): [min, average, max] = [0, 56.76, 806]
Call primal count (epoch 6): [min, average, max] = [0, 31.84, 806]
Call primal count (epoch 7): [min, average, max] = [0, 24.37, 774]
Call primal count (epoch 8): [min, average, max] = [0, 7.72, 772]
Call primal count (epoch 9): [min, average, max] = [0, 6.09, 609]
Call primal count (epoch 10): [min, average, max] = [0, 3.17, 317]

Condition: N = 1000, M = 5000, M/N = 5
BFS count: [min, average, max] = [1, 4.68, 8]
Flow value: [min, average, max] = [0, 167.44, 343]
Call primal count (sum): [min, average, max] = [0, 3130.32, 6595]
Call primal count (epoch 0): [min, average, max] = [0, 934.06, 1010]
Call primal count (epoch 1): [min, average, max] = [0, 866.26, 1010]
Call primal count (epoch 2): [min, average, max] = [0, 707.62, 1007]
Call primal count (epoch 3): [min, average, max] = [0, 406.88, 1006]
Call primal count (epoch 4): [min, average, max] = [0, 142.27, 1001]
Call primal count (epoch 5): [min, average, max] = [0, 64.26, 1001]
Call primal count (epoch 6): [min, average, max] = [0, 8.97, 897]

Condition: N = 1000, M = 10000, M/N = 10
BFS count: [min, average, max] = [2, 4.38, 7]
Flow value: [min, average, max] = [113, 394.85, 781]
Call primal count (sum): [min, average, max] = [1002, 2898.67, 5005]
Call primal count (epoch 0): [min, average, max] = [749, 972.1, 1010]
Call primal count (epoch 1): [min, average, max] = [0, 894.18, 1014]
Call primal count (epoch 2): [min, average, max] = [0, 680.27, 1006]
Call primal count (epoch 3): [min, average, max] = [0, 290.73, 1006]
Call primal count (epoch 4): [min, average, max] = [0, 57, 1005]
Call primal count (epoch 5): [min, average, max] = [0, 4.39, 439]

Condition: N = 1000, M = 20000, M/N = 20
BFS count: [min, average, max] = [3, 4.13, 6]
Flow value: [min, average, max] = [299, 867.18, 1391]
Call primal count (sum): [min, average, max] = [1612, 2749.85, 4894]
Call primal count (epoch 0): [min, average, max] = [966, 992.53, 1008]
Call primal count (epoch 1): [min, average, max] = [630, 938.25, 1026]
Call primal count (epoch 2): [min, average, max] = [0, 636.05, 1027]
Call primal count (epoch 3): [min, average, max] = [0, 161.06, 1009]
Call primal count (epoch 4): [min, average, max] = [0, 21.96, 1002]

Condition: N = 1000, M = 50000, M/N = 50
BFS count: [min, average, max] = [3, 4.01, 6]
Flow value: [min, average, max] = [1483, 2338.38, 3041]
Call primal count (sum): [min, average, max] = [1415, 2672.34, 3923]
Call primal count (epoch 0): [min, average, max] = [951, 999.57, 1038]
Call primal count (epoch 1): [min, average, max] = [438, 975.74, 1104]
Call primal count (epoch 2): [min, average, max] = [0, 635.05, 1048]
Call primal count (epoch 3): [min, average, max] = [0, 61.68, 1002]
Call primal count (epoch 4): [min, average, max] = [0, 0.3, 30]

Condition: N = 1000, M = 100000, M/N = 100
BFS count: [min, average, max] = [4, 4.13, 5]
Flow value: [min, average, max] = [3841, 4748.5, 5833]
Call primal count (sum): [min, average, max] = [2151, 3054.96, 4374]
Call primal count (epoch 0): [min, average, max] = [1000, 1007.64, 1019]
Call primal count (epoch 1): [min, average, max] = [1003, 1261.71, 1377]
Call primal count (epoch 2): [min, average, max] = [10, 713.85, 1361]
Call primal count (epoch 3): [min, average, max] = [0, 71.76, 1017]

